Time (fs)	,	E-field (MV/cm)
486.60	,	-2.78E-01
486.80	,	-2.94E-01
487.00	,	-3.09E-01
487.20	,	-3.23E-01
487.40	,	-3.37E-01
487.60	,	-3.51E-01
487.80	,	-3.64E-01
488.00	,	-3.77E-01
488.20	,	-3.89E-01
488.40	,	-4.01E-01
488.60	,	-4.12E-01
488.80	,	-4.22E-01
489.00	,	-4.32E-01
489.20	,	-4.41E-01
489.40	,	-4.49E-01
489.60	,	-4.57E-01
489.80	,	-4.65E-01
490.00	,	-4.71E-01
490.20	,	-4.77E-01
490.40	,	-4.83E-01
490.60	,	-4.87E-01
490.80	,	-4.91E-01
491.00	,	-4.94E-01
491.20	,	-4.97E-01
491.40	,	-4.99E-01
491.60	,	-5.00E-01
491.80	,	-5.00E-01
492.00	,	-5.00E-01
492.20	,	-4.99E-01
492.40	,	-4.97E-01
492.60	,	-4.94E-01
492.80	,	-4.91E-01
493.00	,	-4.87E-01

