Time (fs)	,	Dipole 10A	,	Dipole 3A	,	3A-10A
27.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
27.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
27.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
27.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
28.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
28.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
28.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
28.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
28.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
29.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
29.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
29.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
29.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
29.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
30.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
30.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
30.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
30.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
30.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
31.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
31.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
31.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
31.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
31.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
32.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
32.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
32.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
32.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
32.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
33.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
33.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
33.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
33.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
33.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
34.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
34.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
34.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
34.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
34.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
35.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
35.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
35.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
35.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
35.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
36.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
36.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
36.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
36.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
36.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
37.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
37.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
37.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
37.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
37.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
38.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
38.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
38.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
38.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
38.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
39.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
39.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
39.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
39.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
39.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
40.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
40.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
40.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
40.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
40.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
41.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
41.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
41.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
41.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
41.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
42.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
42.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
42.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
42.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
42.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
43.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
43.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
43.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
43.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
43.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
44.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
44.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
44.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
44.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
44.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
45.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
45.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
45.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
45.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
45.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
46.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
46.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
46.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
46.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
46.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
47.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
47.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
47.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
47.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
47.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
48.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
48.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
48.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
48.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
48.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
49.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
49.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
49.40	,	5.35E+01	,	2.03E+01	,	-3.32E+01
49.60	,	5.35E+01	,	2.03E+01	,	-3.32E+01
49.80	,	5.35E+01	,	2.03E+01	,	-3.32E+01
50.00	,	5.35E+01	,	2.03E+01	,	-3.32E+01
50.20	,	5.35E+01	,	2.03E+01	,	-3.32E+01
50.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
50.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
50.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
51.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
51.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
51.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
51.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
51.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
52.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
52.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
52.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
52.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
52.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
53.00	,	5.35E+01	,	2.02E+01	,	-3.32E+01
53.20	,	5.35E+01	,	2.02E+01	,	-3.32E+01
53.40	,	5.35E+01	,	2.02E+01	,	-3.32E+01
53.60	,	5.35E+01	,	2.02E+01	,	-3.32E+01
53.80	,	5.35E+01	,	2.02E+01	,	-3.32E+01
54.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
54.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
54.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
54.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
54.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
55.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
55.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
55.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
55.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
55.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
56.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
56.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
56.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
56.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
56.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
57.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
57.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
57.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
57.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
57.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
58.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
58.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
58.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
58.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
58.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
59.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
59.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
59.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
59.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
59.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
60.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
60.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
60.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
60.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
60.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
61.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
61.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
61.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
61.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
61.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
62.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
62.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
62.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
62.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
62.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
63.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
63.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
63.40	,	5.35E+01	,	2.02E+01	,	-3.33E+01
63.60	,	5.35E+01	,	2.02E+01	,	-3.33E+01
63.80	,	5.35E+01	,	2.02E+01	,	-3.33E+01
64.00	,	5.35E+01	,	2.02E+01	,	-3.33E+01
64.20	,	5.35E+01	,	2.02E+01	,	-3.33E+01
